test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,c,degree,gamma,kernel
0.237,0.225,0.35,0.237,1,,"0,0001",rbf
0.237,0.226,0.349,0.237,1,,1E-05,rbf
0.236,0.226,0.349,0.236,1,,1E-06,rbf
0.237,0.225,0.35,0.237,10,,"0,0001",rbf
0.237,0.226,0.349,0.237,10,,1E-05,rbf
0.236,0.226,0.349,0.236,10,,1E-06,rbf
0.237,0.225,0.35,0.237,50,,"0,0001",rbf
0.237,0.226,0.349,0.237,50,,1E-05,rbf
0.236,0.226,0.349,0.236,50,,1E-06,rbf
0.256,0.25,0.357,0.256,100,,"0,0001",rbf
0.237,0.226,0.349,0.237,100,,1E-05,rbf
0.236,0.226,0.349,0.236,100,,1E-06,rbf
0.333,0.33,0.353,0.333,1,,,linear
0.307,0.311,0.321,0.307,10,,,linear
0.307,0.311,0.32,0.307,50,,,linear
0.309,0.312,0.321,0.309,100,,,linear
0.233,0.215,0.403,0.233,1,2.0,"0,0001",poly
0.219,0.182,0.392,0.219,1,3.0,"0,0001",poly
0.233,0.215,0.403,0.233,1,2.0,1E-05,poly
0.221,0.183,0.392,0.221,1,3.0,1E-05,poly
0.233,0.215,0.403,0.233,1,2.0,1E-06,poly
0.312,0.271,0.346,0.312,1,3.0,1E-06,poly
0.233,0.215,0.403,0.233,10,2.0,"0,0001",poly
0.219,0.182,0.392,0.219,10,3.0,"0,0001",poly
0.233,0.215,0.403,0.233,10,2.0,1E-05,poly
0.218,0.181,0.391,0.218,10,3.0,1E-05,poly
0.233,0.215,0.403,0.233,10,2.0,1E-06,poly
0.299,0.256,0.285,0.299,10,3.0,1E-06,poly
0.233,0.215,0.403,0.233,50,2.0,"0,0001",poly
0.219,0.182,0.392,0.219,50,3.0,"0,0001",poly
0.233,0.215,0.403,0.233,50,2.0,1E-05,poly
0.219,0.182,0.392,0.219,50,3.0,1E-05,poly
0.233,0.215,0.403,0.233,50,2.0,1E-06,poly
0.205,0.141,0.355,0.205,50,3.0,1E-06,poly
0.233,0.215,0.403,0.233,100,2.0,"0,0001",poly
0.219,0.182,0.392,0.219,100,3.0,"0,0001",poly
0.233,0.215,0.403,0.233,100,2.0,1E-05,poly
0.219,0.182,0.392,0.219,100,3.0,1E-05,poly
0.233,0.215,0.403,0.233,100,2.0,1E-06,poly
0.193,0.135,0.366,0.193,100,3.0,1E-06,poly
0.237,0.225,0.349,0.237,1,,"0,0001",sigmoid
0.237,0.225,0.349,0.237,1,,1E-05,sigmoid
0.237,0.225,0.349,0.237,1,,1E-06,sigmoid
0.237,0.225,0.349,0.237,10,,"0,0001",sigmoid
0.237,0.225,0.349,0.237,10,,1E-05,sigmoid
0.237,0.225,0.349,0.237,10,,1E-06,sigmoid
0.237,0.225,0.349,0.237,50,,"0,0001",sigmoid
0.237,0.225,0.349,0.237,50,,1E-05,sigmoid
0.237,0.225,0.349,0.237,50,,1E-06,sigmoid
0.237,0.225,0.349,0.237,100,,"0,0001",sigmoid
0.237,0.225,0.349,0.237,100,,1E-05,sigmoid
0.237,0.225,0.349,0.237,100,,1E-06,sigmoid
