,fit_time,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,c,degree,gamma,kernel,,F1SCORE
0,[133.07060695 136.45413899 133.09854531 137.52121592  67.0199995 ],[88.95283794 91.44916511 93.50454092 90.87435031 66.24009323],[0.48457143 0.472      0.496      0.46514286 0.472     ],[0.49696289 0.49105478 0.51182469 0.47578983 0.48735227],[0.63904515 0.67096668 0.67251154 0.65598239 0.67146093],[0.48457143 0.472      0.496      0.46514286 0.472     ],1,,"0,0001",rbf,,
1,[60.11301231 61.32931376 61.88658381 61.16790438 31.2886765 ],[57.75763631 58.43852997 58.82852697 57.15403295 52.00467014],[0.76114286 0.79085714 0.79657143 0.80571429 0.76457143],[0.76018284 0.78901658 0.7962454  0.80202052 0.76300639],[0.7632402  0.79001169 0.79822386 0.80302863 0.76612262],[0.76114286 0.79085714 0.79657143 0.80571429 0.76457143],1,,1E-05,rbf,,
2,[32.3665936  33.40118885 33.94011569 32.8374474  17.17273402],[46.9055829  46.99710131 47.29664993 47.48101974 43.17720652],[0.73485714 0.77142857 0.784      0.79542857 0.74514286],[0.73541727 0.76983269 0.78458445 0.79272515 0.74408128],[0.73927152 0.77453432 0.78711953 0.79372491 0.74905784],[0.73485714 0.77142857 0.784      0.79542857 0.74514286],1,,1E-06,rbf,,
3,[109.64011407 109.57979369 108.87289166 109.48649216  58.36889935],[73.18103337 76.40594625 75.15809083 73.93441486 65.68259501],[0.50628571 0.49485714 0.52       0.48914286 0.49142857],[0.51734683 0.51352099 0.53290128 0.49793381 0.50295749],[0.64090519 0.67252388 0.6640119  0.65009832 0.65801292],[0.50628571 0.49485714 0.52       0.48914286 0.49142857],10,,"0,0001",rbf,,
4,[73.84388232 74.80084085 75.026793   75.17409682 38.54423046],[59.5022254  59.51143789 59.28055143 59.89342141 53.98023796],[0.77714286 0.79314286 0.81257143 0.80685714 0.79085714],[0.77621796 0.79352048 0.81237759 0.80333963 0.79069614],[0.7791244  0.79624631 0.81384687 0.80283646 0.79354213],[0.77714286 0.79314286 0.81257143 0.80685714 0.79085714],10,,1E-05,rbf,,0.79
5,[24.25612402 25.21607447 25.94462991 25.5293963  13.3505168 ],[40.28323483 39.5187037  41.68376613 39.99983025 36.17252398],[0.77485714 0.80685714 0.824      0.82857143 0.79657143],[0.77644096 0.80720916 0.82492454 0.82744834 0.79685676],[0.78351095 0.81004918 0.8295552  0.82798114 0.79970596],[0.77485714 0.80685714 0.824      0.82857143 0.79657143],10,,1E-06,rbf,,0.8
6,[108.20977402 107.31539011 108.67648387 108.46937108  56.80271411],[74.39823723 74.41462755 75.69867921 74.26382613 64.72816873],[0.50628571 0.49485714 0.52       0.48914286 0.49142857],[0.51734683 0.51352099 0.53290128 0.49793381 0.50295749],[0.64090519 0.67252388 0.6640119  0.65009832 0.65801292],[0.50628571 0.49485714 0.52       0.48914286 0.49142857],50,,"0,0001",rbf,,
7,[73.11769295 74.19236255 74.2337079  75.4161253  42.36375833],[68.58241534 67.24611735 69.4718256  67.99586916 55.62101007],[0.77714286 0.79314286 0.81257143 0.80685714 0.79085714],[0.77621796 0.79352048 0.81237759 0.80333963 0.79069614],[0.7791244  0.79624631 0.81384687 0.80283646 0.79354213],[0.77714286 0.79314286 0.81257143 0.80685714 0.79085714],50,,1E-05,rbf,,0.8
8,[27.26149035 29.42734051 29.12594032 29.43236303 16.09101629],[54.09542942 55.83914804 55.86627913 57.82197857 37.15441465],[0.78971429 0.78857143 0.82057143 0.82742857 0.79771429],[0.79147521 0.79029881 0.82253999 0.82647627 0.79748571],[0.79732842 0.79483579 0.82929638 0.82629355 0.79911879],[0.78971429 0.78857143 0.82057143 0.82742857 0.79771429],50,,1E-06,rbf,,
9,[127.88708925 127.39346194 133.0760169  129.95907378  60.99540257],[87.37892652 86.33128786 83.70846462 85.53911924 66.1133635 ],[0.50628571 0.49485714 0.52       0.48914286 0.49142857],[0.51734683 0.51352099 0.53290128 0.49793381 0.50295749],[0.64090519 0.67252388 0.6640119  0.65009832 0.65801292],[0.50628571 0.49485714 0.52       0.48914286 0.49142857],100,,"0,0001",rbf,,
