test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,c,degree,gamma,kernel
0.478,0.493,0.662,0.478,1,,"0,0001",rbf
0.784,0.782,0.784,0.784,1,,1E-05,rbf
0.766,0.765,0.769,0.766,1,,1E-06,rbf
0.5,0.513,0.657,0.5,10,,"0,0001",rbf
0.796,0.795,0.797,0.796,10,,1E-05,rbf
0.806,0.807,0.81,0.806,10,,1E-06,rbf
0.5,0.513,0.657,0.5,50,,"0,0001",rbf
0.796,0.795,0.797,0.796,50,,1E-05,rbf
0.805,0.806,0.809,0.805,50,,1E-06,rbf
0.5,0.513,0.657,0.5,100,,"0,0001",rbf
0.796,0.795,0.797,0.796,100,,1E-05,rbf
0.803,0.804,0.808,0.803,100,,1E-06,rbf
0.732,0.734,0.739,0.732,1,,,linear
0.732,0.734,0.739,0.732,10,,,linear
0.732,0.734,0.739,0.732,50,,,linear
0.732,0.734,0.739,0.732,100,,,linear
0.76,0.762,0.766,0.76,1,2.0,"0,0001",poly
0.768,0.77,0.774,0.768,1,3.0,"0,0001",poly
0.76,0.761,0.766,0.76,1,2.0,1E-05,poly
0.768,0.769,0.774,0.768,1,3.0,1E-05,poly
0.795,0.796,0.799,0.795,1,2.0,1E-06,poly
0.772,0.774,0.779,0.772,1,3.0,1E-06,poly
0.76,0.762,0.766,0.76,10,2.0,"0,0001",poly
0.768,0.77,0.774,0.768,10,3.0,"0,0001",poly
0.76,0.761,0.766,0.76,10,2.0,1E-05,poly
0.768,0.769,0.774,0.768,10,3.0,1E-05,poly
0.779,0.78,0.784,0.779,10,2.0,1E-06,poly
0.768,0.769,0.774,0.768,10,3.0,1E-06,poly
0.76,0.762,0.766,0.76,50,2.0,"0,0001",poly
0.768,0.77,0.774,0.768,50,3.0,"0,0001",poly
0.76,0.761,0.766,0.76,50,2.0,1E-05,poly
0.768,0.769,0.774,0.768,50,3.0,1E-05,poly
0.759,0.761,0.765,0.759,50,2.0,1E-06,poly
0.768,0.769,0.774,0.768,50,3.0,1E-06,poly
0.76,0.762,0.766,0.76,100,2.0,"0,0001",poly
0.768,0.77,0.774,0.768,100,3.0,"0,0001",poly
0.76,0.761,0.766,0.76,100,2.0,1E-05,poly
0.768,0.769,0.774,0.768,100,3.0,1E-05,poly
0.759,0.761,0.765,0.759,100,2.0,1E-06,poly
0.768,0.769,0.774,0.768,100,3.0,1E-06,poly
0.143,0.036,0.02,0.143,1,,"0,0001",sigmoid
0.143,0.036,0.02,0.143,1,,1E-05,sigmoid
0.141,0.035,0.02,0.141,1,,1E-06,sigmoid
0.143,0.036,0.02,0.143,10,,"0,0001",sigmoid
0.143,0.036,0.02,0.143,10,,1E-05,sigmoid
0.141,0.035,0.02,0.141,10,,1E-06,sigmoid
0.143,0.036,0.02,0.143,50,,"0,0001",sigmoid
0.143,0.036,0.02,0.143,50,,1E-05,sigmoid
0.141,0.035,0.02,0.141,50,,1E-06,sigmoid
0.143,0.036,0.02,0.143,100,,"0,0001",sigmoid
0.143,0.036,0.02,0.143,100,,1E-05,sigmoid
0.141,0.035,0.02,0.141,100,,1E-06,sigmoid
